sample   isr
4190    0.86529494
4200    0.86675948
4210    0.87051726
4220    0.87277759
4230    0.87812185
4237    0.87805812
4245    0.87887099
4246    0.88171876
4260    0.88470178
4270    0.88757713
4280    0.88583692
4290    0.89015753
4310    0.89577946
4315    0.89527988
4340    0.8994503
4360    0.89747063
4380    0.90927595
4390    0.90877561
4400    0.91060113
4420    0.90786646
4440    0.91511358
4470    0.91771927
4530    0.92335668
4575    0.93024971
4600    0.92924354
4610    0.93406149
4620    0.93578696
4640    0.9335427
4660    0.93597929
4680    0.93877496
4700    0.94030982
